name,kind,released,venue,status,scope,year,url,paper,code,license,scale,tasks,modalities
Ego-METAS,benchmark,2026-05,arXiv,watch,,2026,https://maria-sanvil.github.io/Ego-METAS-website/,https://arxiv.org/abs/2606.02246,,,"Online multimodal energy-efficient temporal action segmentation benchmark over 100+ hours from EgoExo4D, CMU-MMAC, and CaptainCook4D with RGB, audio, gaze, IMU, and monochrome streams",temporal-segmentation; action-segmentation; sensor-fusion; evaluation,egocentric-video; audio; gaze; imu; monochrome
Plan Watch Recover / EgoProactive,benchmark,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.04970,https://arxiv.org/abs/2606.04970,,,"Proactive procedural-assistance benchmark introducing EgoProactive with out-of-plan annotations and Pro2Bench over Ego4D, EPIC-KITCHENS, EgoExo4D, HoloAssist, and HowTo100M",procedural-task-assistance; mistake-detection; planning; interactive-assistance,egocentric-video; qa; action-labels
EgoExoBench,benchmark,2025-07,arXiv,watch,,2025,https://arxiv.org/abs/2507.18342,https://arxiv.org/abs/2507.18342,,,"First-/third-person video reasoning benchmark with 7,300+ QA pairs across 11 subtasks covering semantic alignment, viewpoint association, and temporal reasoning",ego-exo; cross-view; temporal-reasoning; video-qa; evaluation,egocentric-video; exocentric-video; qa
EgoProx,benchmark,2026-05,CVPR 2026,watch,,2026,https://arxiv.org/abs/2605.24456,https://arxiv.org/abs/2605.24456,,,"Egocentric 3D proximity reasoning benchmark organized across intention, exploration, exploitation, and chain-of-actions reasoning for MLLMs",spatial-reasoning; 3d; vqa; evaluation,egocentric-video; qa; 3d
BARISTA,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.12074,https://arxiv.org/abs/2605.12074,,,"185 egocentric coffee-preparation videos with per-frame scene graphs, persistent object IDs, masks, tracks, boxes, attributes, relations, hand-object interactions, activities, and process steps",scene-graph-qa; procedural-task-assistance; hand-object; temporal-reasoning,egocentric-video; object-masks; object-boxes; action-labels
TAVIS,benchmark,2026-05,arXiv,watch,,2026,https://arxiv.org/abs/2605.07943,https://arxiv.org/abs/2605.07943,,,"Active-vision imitation-learning benchmark with TAVIS-Head (5 tasks), TAVIS-Hands (3 tasks), GR1T2 and Reachy2 embodiments, and the GALT anticipatory-gaze metric",imitation-learning; gaze; robot-learning; evaluation,egocentric-video; gaze; robot-actions
EgoPoint-Bench,benchmark,2026-04,ACL 2026,watch,,2026,https://arxiv.org/abs/2604.21461,https://arxiv.org/abs/2604.21461,,,11K+ simulated and real egocentric pointing samples spanning five evaluation dimensions and three levels of referential complexity,gesture-grounding; referential; spatial-reasoning; vqa,egocentric-video; qa; hand-pose
ReFocus / EM-QnF,benchmark,2026-04,CVPR 2026,watch,,2026,https://nsubedi11.github.io/refocus,https://arxiv.org/abs/2604.24893,,,"Episodic Memory with Questions and Feedback task for ambiguous egocentric NLQ, with feedback datasets and a plug-and-play Feedback Alignment Module",episodic-memory; natural-language-query; interactive-assistance; temporal-grounding,egocentric-video; qa; dialogue
HumanEgo,model,2026-05,arXiv,watch,,2026,https://humanego-ai.github.io,https://arxiv.org/abs/2605.24934,,,Zero-shot robot learning from minutes of human egocentric videos via entity-level hand-object representations and flow-matching policies,robot-learning; imitation-learning; cross-embodiment-transfer; hand-object,egocentric-video; hand-pose; robot-actions
EgoGuide,model,2026-06,arXiv,watch,,2026,https://silicx.github.io/EgoGuide,https://arxiv.org/abs/2606.14665,,,"Robot-free demonstration collection with synchronized wrist and head/egocentric observations, online visual-geometric data-quality guidance, and a gated egocentric residual policy",data-collection; robot-learning; imitation-learning; vla,egocentric-video; wrist-camera-video; robot-actions
Ego-Pi,model,2026-06,arXiv,watch,,2026,https://egopipaper.github.io/,https://arxiv.org/abs/2606.08107,,,VLA fine-tuning study over egocentric human and robot data using the pi0.5 foundation model and dexterous five-finger embodiments,vla; robot-learning; cross-embodiment-transfer; dexterous-manipulation,egocentric-video; robot-actions; hand-pose
EgoTactile,model,2026-06,ICML 2026 spotlight,watch,,2026,https://egotactile.github.io/,https://arxiv.org/abs/2606.09243,,,Benchmark and diffusion/baseline models pairing egocentric video with full-hand grasp-pressure supervision for everyday-object interactions,contact-understanding; hand-object; robot-learning; evaluation,egocentric-video; hand-pose; contact; depth
EgoPressDiff,model,2026-06,ICASSP 2026,watch,,2026,https://egopressdiff.github.io/,https://arxiv.org/abs/2606.06872,,,"Conditional video diffusion model for UV-domain egocentric hand-pressure maps, conditioned on hand pose, 3D mesh vertices, and depth",contact-understanding; hand-object; robot-learning,egocentric-video; hand-pose; mesh; depth
EgoForce Hand Pose,model,2026-05,SIGGRAPH 2026,open,,2026,https://dfki-av.github.io/EgoForce,https://arxiv.org/abs/2605.12498,https://dfki-av.github.io/EgoForce,,"Monocular egocentric 3D hand-pose and shape reconstruction across fisheye, perspective, and wide-FOV camera models, with source code, data, and demo available",3d-hand-pose; hand-object; ar-vr; pose,egocentric-video; hand-pose; hand-meshes
PROSE,model,2026-06,arXiv,watch,,2026,https://rckola.github.io/prose/,https://arxiv.org/abs/2606.16569,,,Training-free RGB-only egocentric scene registration using VLM-derived object-level 3D scene graphs for persistent spatial memory in robots and AR,scene-reconstruction; spatial-reasoning; ar-perception; 3d,egocentric-video; 3d; object-masks
OSGNet + MLLM Reranking,model,2026-05,CVPR 2026 EgoVis,open,,2026,https://github.com/iLearn-Lab/CVPR25-OSGNet,https://arxiv.org/abs/2605.20818,https://github.com/iLearn-Lab/CVPR25-OSGNet,,"Champion solution for the Ego4D Episodic Memory Challenge 2026 Natural Language Queries and GoalStep tracks, reranking OSGNet candidates with an MLLM",natural-language-query; temporal-grounding; ego4d; video-language,egocentric-video; text
OmniEgo-R2,model,2026-05,CVPR 2026 EgoVis,open,,2026,https://github.com/Lee-zixu/OmniEgo-R2,https://arxiv.org/abs/2605.24481,https://github.com/Lee-zixu/OmniEgo-R2,,Routed reasoning framework for EgoCross; second place in both Source-Limited and Open-Source tracks of the 1st Cross-Domain EgoCross Challenge,video-qa; egocentric-video-reasoning; domain-transfer; grounded-reasoning,egocentric-video; qa
CASTLE KG Retrieval,model,2026-06,CVPR 2026 EgoVis,watch,,2026,https://arxiv.org/abs/2606.01933,https://arxiv.org/abs/2606.01933,,,Third-place CASTLE 2026 challenge framework using video knowledge graphs and adaptive hierarchical retrieval over 600+ hours of synchronized 15-camera ego/exo streams,long-context; multi-view; video-qa; temporal-reasoning,egocentric-video; exocentric-video; multimodal-annotations
Reflective Dialogue EgoCross,model,2026-05,CVPR 2026 EgoVis,watch,,2026,https://arxiv.org/abs/2605.27885,https://arxiv.org/abs/2605.27885,,,"Inference-time Teacher/Solver reflective dialogue method for EgoCross, achieving third place in the Open-source Track without fine-tuning",video-qa; egocentric-video-reasoning; domain-transfer; grounded-reasoning,egocentric-video; qa; dialogue
EARL,model,2026-05,ICML 2026,open,,2026,https://github.com/yuggiehk/EARL,https://arxiv.org/abs/2605.14742,https://github.com/yuggiehk/EARL,,"Analysis-guided RL framework for egocentric interaction reasoning and pixel grounding, with structured coarse-to-fine interaction parsing and GRPO optimization",interaction; visual-grounding; segmentation; embodied-reasoning,egocentric-video; object-masks; qa
EgoExo-WM,model,2026-05,arXiv,watch,,2026,https://vision.cs.utexas.edu/projects/EgoExo-WM/,https://arxiv.org/abs/2605.15477,,,Transforms exocentric video into egocentric video using body-pose priors to train whole-body action-conditioned egocentric world models,world-modeling; cross-view; action-conditioned-generation; human-motion,egocentric-video; exocentric-video; human-pose
MotionGRPO,model,2026-05,ICML 2026,watch,,2026,https://arxiv.org/abs/2605.05680,https://arxiv.org/abs/2605.05680,,,GRPO-based reinforcement post-training for diffusion egocentric full-body 3D motion recovery from head-mounted device signals,egocentric-3d-pose; motion-estimation; policy-optimization,egocentric-video; body-pose; human-motion
Hand Trajectory Fusion for Ego NLQ,model,2026-06,CVPR 2026 EgoVis,watch,,2026,https://arxiv.org/abs/2606.02962,https://arxiv.org/abs/2606.02962,,,"Hand-trajectory encoder and cross-attention fusion for Ego4D Natural Language Query grounding, with gains on hand-object-interaction and quantity/state queries",natural-language-query; temporal-grounding; hand-object; ego4d,egocentric-video; hand-pose; text
ACE-Ego-0,model,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.17200,https://arxiv.org/abs/2606.17200,,,Unifies 4.53K hours of robot/sim data with 1.48K hours of pseudo-action-labeled egocentric human video via reliability-aware weighting for VLA pretraining; evaluated on RoboCasa GR1 and RoboTwin 2.0,vla; robot-learning; imitation-learning; manipulation,egocentric-video; language; robot-actions
EgoXtreme,dataset,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.25135,https://arxiv.org/abs/2603.25135,,,"Smart-glasses egocentric 6D object-pose dataset spanning industrial, sports, and rescue scenes with extreme motion blur, dynamic lighting, and heavy occlusion where current pose estimators fail",3d-4d-understanding; pose-and-body,egocentric-video; rgb
EgoForge,model,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.20169,https://arxiv.org/abs/2603.20169,,,Goal-directed egocentric world simulator that rolls out coherent first-person video from a single egocentric image and a high-level instruction,world-modeling; video-generation; hand-object-interaction,egocentric-video; text
EgoHOI World Model,model,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.13615,https://arxiv.org/abs/2603.13615,,,"Physics-informed egocentric world model that synthesizes photorealistic, contact-consistent hand-object interactions from action signals alone, without future-state inputs",world-modeling; hand-object-interaction,egocentric-video
EgoControl,model,2025-11,arXiv,watch,,2025,https://arxiv.org/abs/2511.18173,https://arxiv.org/abs/2511.18173,,,Pose-controllable egocentric video diffusion model that generates temporally coherent first-person frames conditioned on sequences of 3D full-body poses,video-generation; world-modeling; pose-and-body,egocentric-video; body-pose
EgoFlow,model,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.01421,https://arxiv.org/abs/2604.01421,,,Gradient-guided flow-matching framework that generates physically plausible 6DoF object trajectories from egocentric video using differentiable collision and smoothness constraints,3d-4d-understanding; hand-object-interaction,egocentric-video
WholeBodyVLA,model,2025-12,ICLR 2026,open,,2025,https://github.com/OpenDriveLab/WholebodyVLA,https://arxiv.org/abs/2512.11047,https://github.com/OpenDriveLab/WholebodyVLA,,Unified latent VLA that learns latent actions from action-free egocentric videos via a Latent Action Model for whole-body humanoid loco-manipulation; +21.3% over GR00T on AgiBot X2,vla; robot-learning; manipulation,egocentric-video; language; robot-actions
In-N-On,model,2025-11,arXiv,watch,,2025,https://arxiv.org/abs/2511.15704,https://arxiv.org/abs/2511.15704,,,"Scales egocentric manipulation with 1,000+ hours of in-the-wild human egocentric video (PHSD) plus 20+ hours on-task data to train the Human0 language-conditioned flow-matching policy",robot-learning; manipulation; imitation-learning,egocentric-video; language
EgoZero,model,2025-05,arXiv,watch,,2025,https://arxiv.org/abs/2505.20290,https://arxiv.org/abs/2505.20290,,,Trains robot manipulation policies from Project Aria smart-glasses human demonstrations with zero robot training data; ~70% zero-shot success across 7 tasks on a Franka arm,robot-learning; manipulation; imitation-learning,egocentric-video
Ego-PM,model,2025-08,arXiv,watch,,2025,https://arxiv.org/abs/2508.19852,https://arxiv.org/abs/2508.19852,,,"Egocentric predictive world model that jointly forecasts future actions and video frames conditioned on hand trajectories via a latent diffusion model; tested on Ego4D, BridgeData, and RLBench",world-modeling; video-generation; robot-learning,egocentric-video; hand-pose; text
PEDESTRIAN,dataset,2025-12,arXiv,watch,,2025,https://arxiv.org/abs/2512.19190,https://arxiv.org/abs/2512.19190,,,"340 first-person pavement videos covering 29 urban sidewalk obstacle types, with deep-learning baselines for pedestrian-safety obstacle detection",detection-segmentation; ar-sensing-navigation,egocentric-video; rgb
DeltaDorsal,model,2026-01,arXiv,open,,2026,https://github.com/hilab-open-source/deltadorsal,https://arxiv.org/abs/2601.15516,https://github.com/hilab-open-source/deltadorsal,,Dual-stream delta encoder that uses dorsal hand-skin deformation features to improve egocentric hand pose under self-occlusion (~18% lower mean per-joint angle error),pose-and-body; hand-object-interaction,egocentric-video; hand-pose
Edge Episodic Memory QA,model,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.22455,https://arxiv.org/abs/2602.22455,,,On-device dual-thread MLLM pipeline (continuous video-to-text summarization plus asynchronous querying) for real-time egocentric episodic-memory QA on QAEgo4D-Closed,question-answering; memory-and-long-context,egocentric-video; text
LOME,model,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.27449,https://arxiv.org/abs/2603.27449,,,"Action-conditioned egocentric world model that generates photorealistic human-object interactions from an image, text, and per-frame body/hand actions, with realistic physical consequences",world-modeling; video-generation; hand-object-interaction,egocentric-video; body-pose; hand-pose; text
Ego-Nav Co-training,model,2026-06,arXiv,watch,,2026,https://arxiv.org/abs/2606.01951,https://arxiv.org/abs/2606.01951,,,Converts egocentric human walking videos into robot-action datasets and co-trains a VLA with robot demonstrations for mobile navigation (fruit-search task),vla; robot-learning; ar-sensing-navigation,egocentric-video; robot-actions; language
EXPLORE-Bench,benchmark,2026-03,arXiv,watch,,2026,https://arxiv.org/abs/2603.09731,https://arxiv.org/abs/2603.09731,,,"Egocentric scene-prediction benchmark over real first-person videos: predict the final scene state after long atomic-action sequences, with object, attribute, and relation annotations; large human-model gap",reasoning-intent-planning; question-answering; world-modeling,egocentric-video; text
Hand2World,model,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.09600,https://arxiv.org/abs/2602.09600,,,"Autoregressive egocentric world model that generates photorealistic first-person interaction video from free-space hand gestures using occlusion-invariant hand conditioning and Plucker-ray camera embeddings; best on ARCTIC, HOT3D, HOI4D",world-modeling; video-generation; hand-object-interaction,egocentric-video; hand-pose
EgoSim,model,2026-04,arXiv,watch,,2026,https://arxiv.org/abs/2604.01001,https://arxiv.org/abs/2604.01001,,,Closed-loop egocentric world simulator that generates spatially consistent first-person interaction videos with explicit 3D grounding and dynamic world-state updates for multi-stage simulation and cross-embodiment transfer,world-modeling; video-generation; robot-learning,egocentric-video; camera-pose
EgoPush,model,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.18071,https://arxiv.org/abs/2602.18071,,,"End-to-end egocentric multi-object non-prehensile rearrangement for mobile robots from a single first-person camera, using object-centric relative-pose latents and teacher-student RL with zero-shot sim-to-real transfer",robot-learning; manipulation; ar-sensing-navigation,egocentric-video
MEgoHand,model,2025-05,arXiv,watch,,2025,https://arxiv.org/abs/2505.16602,https://arxiv.org/abs/2505.16602,,,"Multimodal egocentric hand-object interaction motion generator pairing a VLM cerebrum with a flow-matching policy over a unified 3.35M RGB-D frame, 24K interaction, 1.2K object dataset",hand-object-interaction; video-generation; pose-and-body,egocentric-video; rgb-d; text; hand-pose
EgoH4,model,2025-04,arXiv,watch,,2025,https://arxiv.org/abs/2504.08654,https://arxiv.org/abs/2504.08654,,,"Diffusion transformer that forecasts both-hand 3D trajectories and poses from egocentric video and camera pose, including out-of-frame hands; trained on Ego-Exo4D (156K train / 34K eval sequences)",pose-and-body; hand-object-interaction; world-modeling,egocentric-video; camera-pose; hand-pose
Diff-IP2D,model,2024-05,arXiv,open,,2024,https://github.com/IRMVLab/Diff-IP2D,https://arxiv.org/abs/2405.04370,https://github.com/IRMVLab/Diff-IP2D,,Non-autoregressive diffusion model that jointly forecasts 2D hand trajectories and object affordances on egocentric video with explicit camera-egomotion conditioning,hand-object-interaction; pose-and-body,egocentric-video; hand-pose
IndEgo,dataset,2025-11,NeurIPS 2025,open,,2025,https://huggingface.co/datasets/FraunhoferIPK/IndEgo,https://arxiv.org/abs/2511.19684,,,"~197 hours of egocentric (plus ~97 hours exocentric) industrial collaborative-work video over assembly, logistics, inspection, and repair, with gaze, narration, sound, motion, hand pose, and point clouds",action-and-procedure; assistance-and-agents; detection-segmentation,egocentric-video; gaze; audio; motion; hand-pose; point-cloud
LaMAria,benchmark,2025-09,arXiv,open,,2025,https://lamaria.ethz.ch,https://arxiv.org/abs/2509.26639,,,"City-scale egocentric visual-inertial SLAM benchmark from glasses-like wearables, hours/kilometers of trajectories with centimeter-accurate surveyed ground truth and difficulty-tiered tracks (incl. night and vehicle motion)",three-d-and-scene; ar-sensing-navigation; tracking,egocentric-video; imu; camera-pose
EgoLifter,model,2024-03,ECCV 2024,open,,2024,https://github.com/facebookresearch/egolifter,https://arxiv.org/abs/2403.18118,https://github.com/facebookresearch/egolifter,,"Open-world 3D segmentation that decomposes natural egocentric video into individual 3D objects using 3D Gaussians and SAM weak supervision, with a transient module for dynamic objects (Aria Digital Twin benchmark)",detection-segmentation; three-d-and-scene,egocentric-video; camera-pose
EgoSplat,model,2025-03,arXiv,watch,,2025,https://arxiv.org/abs/2503.11345,https://arxiv.org/abs/2503.11345,,,"Open-vocabulary egocentric scene understanding with language-embedded 3D Gaussian splatting, using SAM2-tracked multi-view instance features and an instance-aware spatio-temporal module (gains on Aria Digital Twin)",detection-segmentation; three-d-and-scene,egocentric-video; language
3D-Aware Ego Instance Tracking,model,2024-08,arXiv,watch,,2024,https://arxiv.org/abs/2408.09860,https://arxiv.org/abs/2408.09860,,,3D-aware instance segmentation and multi-object tracking in egocentric video that lifts 2D masks with scene geometry to survive rapid motion and occlusion (large ID-switch reductions on EPIC Fields),detection-segmentation; tracking; three-d-and-scene,egocentric-video; camera-pose
EgoCogNav,model,2025-11,arXiv,watch,,2025,https://arxiv.org/abs/2511.17581,https://arxiv.org/abs/2511.17581,,,"Cognition-aware egocentric navigation framework that forecasts human trajectory and head motion from perceived path uncertainty, modeling scanning, hesitation, and backtracking, with the 6-hour CEN dataset",ar-sensing-navigation; reasoning-intent-planning; pose-and-body,egocentric-video; motion
Neck-Mounted Gaze (GLC),model,2026-02,arXiv,watch,,2026,https://arxiv.org/abs/2602.11669,https://arxiv.org/abs/2602.11669,,,"Transformer gaze estimator (GLC) for a shoulder-level neck-mounted camera with an out-of-bound gaze classification task and head/neck multi-view co-learning, plus a ~4-hour 8-subject dataset",ar-sensing-navigation; pose-and-body,egocentric-video; gaze
CMU-MMAC,dataset,2009,CMU tech report 2009,open,,2009,http://kitchen.cs.cmu.edu/,http://kitchen.cs.cmu.edu/,,,"Among the earliest egocentric datasets: a multimodal kitchen-activity database with head-mounted egocentric video plus body IMUs, motion capture, and audio for 43 subjects cooking 5 recipes",action-and-procedure; detection-segmentation,egocentric-video; imu; motion; audio
First-Person Social Interactions,dataset,2012,CVPR 2012,open,,2012,http://ai.stanford.edu/~alireza/publication/CVPR12.pdf,http://ai.stanford.edu/~alireza/publication/CVPR12.pdf,,,"The first egocentric social-interaction dataset: day-long head-mounted video of 8 subjects at a theme park, annotated for social interactions, roles, attention, and turn-taking",audio-and-social; reasoning-intent-planning; detection-segmentation,egocentric-video
BEOID,dataset,2014,BMVC 2014,open,,2014,https://dimadamen.github.io/BEOID/,https://dimadamen.github.io/BEOID/,,,"Gaze-tracked egocentric video of 8 users interacting with objects across 6 everyday locations (kitchen, workspace, printer, corridor, gym) for discovering task-relevant objects and interaction modes",hand-object-interaction; action-and-procedure; detection-segmentation,egocentric-video; gaze
